title_id;title_nl;description_nl;title_fr;description_fr;title_en;description_en
management2_observed-mapHeat;Alle observaties huidig jaar;Op deze kaart worden alle nesten en individuen van Aziatische hoornaar getoond die in {{maxYear}} zijn gemeld via diverse kanalen. Nog niet alle meldingen zijn op dit kaartje weergegeven. Binnenkort zullen alle meldingen zichtbaar zijn. </br><em>Data beschikbaar tot {{maxDate}}</em>;Toutes les observations de l'année actuelle;Cette carte montre tous les nids et individus de frelons asiatiques signalés en {{maxYear}} via divers canaux. Tous les rapports ne sont pas encore affichés sur cette carte. Bientôt, toutes les notifications seront visibles. </br><em>Dates disponibles jusqu'au {{maxDate}}</em>;All observations current year;This map shows all Asian hornet nests and individuals reported in {{maxYear}} through various channels. Not all reports are yet shown on this map. Soon all notifications will be visible. </br><em>Dates available until {{maxDate}}</em>
management2-countYearGroup;Beheer van nesten;NA;Gestion des nids;NA;Management of nests;NA
management3-countYearGroup;Het aantal beheerde {{species}} individuen;"<p>Deze grafiek toont de evolutie in het absolute of cumulatieve aantal beheerde individuen.</p>
<p><i>Het aantal individuen kan worden onderverdeeld per levensfase indien beschikbaar</i></p>";Le nombre d'individus de {{species}} gérés;"<p>Ce graphique montre l'évolution du nombre absolu ou cumulé d'individus gérés.</p> 
<p><i>Le nombre d'individus peut être subdivisé par stade de vie si disponible</i></p>";The number of {{species}} individuals managed;"<p>This graph shows the evolution in the absolute or cumulative number of individuals managed.</p>
<p><i>The number of individuals can be subdivided by lifestage if available</i></p>"
observations-mapOccurrence;Verspreiding van {{species}};"<p>Kaart met de verspreiding in de gekozen gewesten sinds 1950.</p><ul> 
<li><p><b style=""color: #000000;"">Zwarte</b> hokken geven de gebieden van 10 × 10 km aan waarin de soort werd waargenomen.</p></li> 
<li><p><b style=""color: #FF0000;"">Rode</b> hokken markeren specifieke locaties van 1 × 1 km binnen deze gebieden waar waarnemingen zijn gemeld.</p></li> </ul> 
<p>Het bijgevoegde staafdiagram toont een tijdreeks van het aantal vierkanten per jaar in elk gewest sinds 1950.<br>
 Wanneer een vierkant meerdere gewesten overlapt, wordt dit geteld als ""meer dan 1 gewest"".</p>";Répartition de {{species}};"<p>Carte de la répartition dans les régions sélectionnées depuis 1950.</p>
<ul>
<li><p>Les carrés <b style=""color: #000000;"">noirs</b> indiquent des zones de 10 x 10 km où l’espèce a été observée.<br>
<li>Les carrés <b style=""color: #FF0000;"">rouges</b> rouges marquent des emplacements plus précis de 1 x 1 km à l’intérieur de ces zones où des observations ont été signalées.</p> 
</ul>
<p>Le graphique en barres joint présente une série chronologique montrant le nombre de carrés par an dans chaque région depuis 1950.<br>
Lorsqu’un carré chevauche plusieurs régions, il est compté comme ""plusieurs régions"".</p>";Occupancy of {{species}};"<p>Map showing occupancy in the selected region since 1950.</p>
<ul>
<li><p><b style=""color: #000000;"">Black</b> squares represent 10 x 10 km areas where the species has been recorded.<br>
<li><b style=""color: #FF0000;"">Red </b> squares highlight more precise 1 x 1 km locations within these areas where sightings have been reported. <br>
</ul>
The accompanying bar graph presents a time series showing the number of 1 x 1 km squares per year in each region since 1950. <br>
Squares that overlap with multiple regions are counted as ""multiple regions"".</p>"
reporting_t1-mapOccurrence;Rapportering van {{species}};"Kaart waarop het volgende weergegeven wordt:
<ul>
  <li><b>alleen t<sub>0</sub>:</b> 10 km x 10 km gridcellen met alleen waarnemingen van de soort van 2000 tot het jaar van opname op de <a href=""https://environment.ec.europa.eu/topics/nature-and-biodiversity/invasive-alien-species_en"" target=""_blank"">lijst van soorten van Uniebezorgdheid</a>, zonder latere meldingen.</li>
  <li><b>alleen t<sub>1</sub>:</b> 10 km x 10 km gridcellen waar de soort voor het eerst verscheen tijdens de eerste driejaarlijkse rapportagecyclus.</li>
  <li><b>t<sub>0</sub> & t<sub>1</sub>:</b> 10 km x 10 km gridcellen waar de soort nog steeds aanwezig is.</li>
</ul>";Rapportage de {{species}};"Carte avec:
<ul>
  <li><b>uniquement t<sub>0</sub>:</b> Grilles de 10 km x 10 km contenant uniquement des observations de l'espèce entre 2000 et l'année de son inscription sur la <a href=""https://environment.ec.europa.eu/topics/nature-and-biodiversity/invasive-alien-species_en"" target=""_blank"">liste des espèces préoccupantes pour l’Union</a>, sans signalements ultérieurs.</li>
  <li><b>uniquement t<sub>1</sub>:</b> Grilles de 10 km x 10 km où l'espèce est apparue pour la première fois au cours du premier cycle de rapport triennal.</li>
  <li><b>t<sub>0</sub> & t<sub>1</sub>:</b> Grilles de 10 km x 10 km où l'espèce est toujours présente.</li>
</ul>";Reporting of {{species}};"A map displaying:
<ul>
<li><b>only t<sub>0</sub>:</b> 10 km x 10 km gridcells containing only observations of the species from 2000 up to the year of its inclusion on the <a href= ""https://environment.ec.europa.eu/topics/nature-and-biodiversity/invasive-alien-species_en"" target = ""_blank"">list of species of Union concern</a>, with no subsequent reports.
<li><b>only t<sub>1</sub>:</b> 10 km  x 10 km gridcells where the species has first appeared during the first 3-yearly reporting cycle.
<li><b>t<sub>0</sub> & t<sub>1</sub>:</b> 10 km x 10 km gridcells where the species is still present.</b>"
reporting_t01-mapOccurrence;Rapportering van {{species}};"Kaart waarop het volgende weergegeven wordt:
<ul>
  <li><b>alleen t<sub>0</sub>:</b> 10 km x 10 km gridcellen met alleen waarnemingen van de soort van 2000 tot het jaar van opname op de <a href=""https://environment.ec.europa.eu/topics/nature-and-biodiversity/invasive-alien-species_en"" target=""_blank"">lijst van soorten van Uniebezorgdheid</a>, zonder latere meldingen.</li>
  <li><b>alleen t<sub>1</sub>:</b> 10 km x 10 km gridcellen waar de soort voor het eerst verscheen tijdens de eerste driejaarlijkse rapportagecyclus.</li>
  <li><b>t<sub>0</sub> & t<sub>1</sub>:</b> 10 km x 10 km gridcellen waar de soort nog steeds aanwezig is.</li>
</ul>";Rapportage de {{species}};"Carte avec:
<ul>
  <li><b>uniquement t<sub>0</sub>:</b> Grilles de 10 km x 10 km contenant uniquement des observations de l'espèce entre 2000 et l'année de son inscription sur la <a href=""https://environment.ec.europa.eu/topics/nature-and-biodiversity/invasive-alien-species_en"" target=""_blank"">liste des espèces préoccupantes pour l’Union</a>, sans signalements ultérieurs.</li>
  <li><b>uniquement t<sub>1</sub>:</b> Grilles de 10 km x 10 km où l'espèce est apparue pour la première fois au cours du premier cycle de rapport triennal.</li>
  <li><b>t<sub>0</sub> & t<sub>1</sub>:</b> Grilles de 10 km x 10 km où l'espèce est toujours présente.</li>
</ul>";Reporting of {{species}};"A map displaying:
<ul>
<li><b>only t<sub>0</sub>:</b> 10 km x 10 km gridcells containing only observations of the species from 2000 up to the year of its inclusion on the <a href= ""https://environment.ec.europa.eu/topics/nature-and-biodiversity/invasive-alien-species_en"" target = ""_blank"">list of species of Union concern</a>, with no subsequent reports.
<li><b>only t<sub>1</sub>:</b> 10 km  x 10 km gridcells where the species has first appeared during the first 3-yearly reporting cycle.
<li><b>t<sub>0</sub> & t<sub>1</sub>:</b> 10 km x 10 km gridcells where the species is still present.</b>"
management-mapOccurrence;Beheer van {{species}};"<p>Kaart en bijbehorende grafieken van de ruimtelijke verdeling van het gerealiseerd beheer.
<li>Op de kaart ziet u de ruimtelijke verdeling voor het gekozen jaar.
<li>Op de grafiek linksonder de kaart vindt u de trend per gewest (Vlaanderen, Wallonië en/of Brussel).
<li>Op de grafiek rechtsonder de kaart wordt de trend in de geselecteerde regio(s).</p>

<!DOCTYPE html>
<html lang=""en"">
<head>
  <meta charset=""UTF-8"">
  <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
  <title>Aperçu du tableau</title>
  <link href=""https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.4/css/all.min.css"" rel=""stylesheet""> <!-- Font Awesome link -->
  <style>
    .indented {
      margin-left: 20px;
    }

    /* Remove default arrow */
    details summary {
      list-style: none;
      font-size: 14px; /* Optional: You can adjust the font size */
      color: #c1c443; /* Match the icon color */
      text-decoration: underline; /* Underline the text */
    }

    /* Green Icon Style */
    .green-icon {
      color:#c1c443 ;
      font-size: 18px; /* Adjust size as needed */
      margin-right: 10px; /* Space between the icon and the text */
    }
  </style>
</head>
<body>

<details>
  <summary>
    <i class=""fas fa-angle-double-down green-icon""></i> Meer informatie
  </summary>
<br>
<p>De <b>eenheid</b> bepaald hoe de resultaten worden weergegeven:
<ul>
<li> <b>absoluut:</b> Het absoluut aantal beheerde individuen
<li> <b>verschil:</b> Het verschil in het absoluut aantal beheerde individuen van een jaar ten opzichte van het absoluut aantal beheerde individuen van het voorgaande jaar. Deze waarde wordt berekend door de absolute waarde van het jaar af te trekken van die van het voorgaande jaar. Deze waarde kan dus negatief zijn. Een positieve waarde geeft weer dat er in een bepaald jaar meer individuen beheerd werden ten opzichte van het voorgaande jaar, een negatieve waarde duidt op een afname in het aantal beheerde individuen terwijl een nul wijst op een zelfde aantal beheerde individuen. Het verschil van het eerste jaar van de tijdreeks is steeds nul.
<li> <b>eenheid van inspanning:</b> Het absoluut aantal beheerde individuen gedeeld door de geleverde inspanningen. Hierdoor wordt het beheer gecorrigeerd voor veranderingen in de inspanning. De eenheid van inspanning is afhankelijk van de gebruikte methode, maar komt meestal overeen met 1 vangtuig of 1 schot per 24u.  
</ul>
</p>
Voor meer informatie over het aanpassen van classes zie de <a href="""" target=""_blank"">veel gestelde vragen</a>
</details>";Gestion de {{species}};"<p>Carte et graphiques associés de la distribution spatiale de la gestion réalisée de.
<li>Sur la carte, vous pouvez voir la distribution spatiale pour l'année choisie. 
<li>Sur le graphique en dessous de la carte à gauche, vous pouvez trouver la tendance par région (Flandre, Wallonie et/ou Bruxelles). <li>Sur le graphique en dessous de la carte à droite, la tendance dans la ou les régions sélectionnées est affichée.</p> 

<!DOCTYPE html> <html lang=""fr""> <head> <meta charset=""UTF-8""> <meta name=""viewport"" content=""width=device-width, initial-scale=1.0""> <title>Aperçu du tableau</title> <link href=""https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.4/css/all.min.css"" rel=""stylesheet""> <style> .indented { margin-left: 20px; }
details summary {
  list-style: none;
  font-size: 14px;
  color: #c1c443;
  text-decoration: underline;
}

.green-icon {
  color:#c1c443 ;
  font-size: 18px;
  margin-right: 10px;
}

</style> </head> <body> <details> <summary> <i class=""fas fa-angle-double-down green-icon""></i> Plus d'informations </summary> <br> <p>L'<b>unité</b> détermine comment les résultats sont affichés : <ul> 
<li> <b>absolu :</b> Le nombre absolu d'individus gérés 
<li> <b>différence :</b> La différence dans le nombre absolu d'individus gérés d'une année par rapport au nombre absolu d'individus gérés de l'année précédente. Cette valeur est calculée en soustrayant la valeur absolue de l'année de celle de l'année précédente. Cette valeur peut donc être négative. Une valeur positive indique que plus d'individus ont été gérés dans une certaine année par rapport à l'année précédente, une valeur négative indique une diminution du nombre d'individus gérés, tandis qu'un zéro indique le même nombre d'individus gérés. La différence pour la première année de la série temporelle est toujours zéro. 
<li> <b>unité d'effort :</b> Le nombre absolu d'individus gérés divisé par les efforts réalisés. Cela corrige la gestion pour les changements d'effort. L'unité d'effort dépend de la méthode utilisée, mais correspond généralement à 1 piège ou 1 tir par 24 heures. </ul> 
</p> Pour plus d'informations sur l'ajustement des classes, consultez la <a href="""" target=""_blank"">foire aux questions</a> </details> </body> </html>";Management of {{species}};"<p>Map and associated graphs of the spatial distribution of realized management 
<li>On the map, you can see the spatial distribution for the chosen year.
<li>On the graph below the map on the left, you can find the trend per region (Flanders, Wallonia and/or Brussels). 
<li>On the graph below the map on the right, the trend in the selected region(s) is shown.</p>

<!DOCTYPE html>
<html lang=""en"">
<head>
  <meta charset=""UTF-8"">
  <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
  <title>Table Overview</title>
  <link href=""https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.4/css/all.min.css"" rel=""stylesheet""> <!-- Font Awesome link -->
  <style>
    .indented {
      margin-left: 20px;
    }

    /* Remove default arrow */
    details summary {
      list-style: none;
      font-size: 14px; /* Optional: You can adjust the font size */
      color: #c1c443; /* Match the icon color */
      text-decoration: underline; /* Underline the text */
    }

    /* Green Icon Style */
    .green-icon {
      color:#c1c443 ;
      font-size: 18px; /* Adjust size as needed */
      margin-right: 10px; /* Space between the icon and the text */
    }
  </style>
</head>
<body>

<details>
  <summary>
    <i class=""fas fa-angle-double-down green-icon""></i> More information
  </summary>
<br>
<p>The <b>unit</b> determines how the results are displayed:
<ul>
<li> <b>absolute:</b> The absolute number of managed individuals
<li> <b>difference:</b> The difference in the absolute number of managed individuals of a year compared to the absolute number of managed individuals of the previous year. This value is calculated by subtracting the absolute value of the year from that of the previous year. This value can therefore be negative. A positive value indicates that more individuals were managed in a certain year compared to the previous year, a negative value indicates a decrease in the number of managed individuals, while a zero indicates the same number of managed individuals. The difference for the first year of the time series is always zero.
<li> <b>unit of effort:</b> The absolute number of managed individuals divided by the efforts made. This corrects the management for changes in effort. The unit of effort depends on the method used, but usually corresponds to 1 trap or 1 shot per 24 hours.  
</ul>
</p>
For more information on adjusting classes, see the <a href="""" target=""_blank"">frequently asked questions</a>
</details>

</body>
</html>"
management-mapInvasion;Invasie geschiedenis van <i>{{species}}</i>;"<div>
  <p>
    Deze kaarten tonen de verspreiding van de soort in het gekozen referentiejaar en vergelijken deze met de verspreiding in de twee voorgaande periodes van drie jaar.
  </p>

  <p>Als gebruiker kunt u zelf kiezen hoe de observatiegegevens worden ingedeeld. Dit gaat als volgt:</p>

  <ol>
    <li>Selecteer de knop <strong>'Edit classes'</strong>.</li>
    <li>Stel het aantal categorieën in waarin u de waarnemingen wilt onderverdelen met de optie <strong>nBins</strong>.</li>
    <li>
      Bepaal hoe de gegevens worden verdeeld. U kunt kiezen tussen:
      <ul>
        <li><strong>Aangepaste indeling:</strong> u bepaalt zelf de grenzen.</li>
        <li><strong>Uniforme verdeling:</strong> alle categorieën hebben een gelijke spreiding.</li>
        <li><strong>Verdeling op basis van kwantielen:</strong> elke categorie bevat ongeveer evenveel waarnemingen.</li>
      </ul>
    </li>
    <li>Geef de categorieën een naam: maak de weergave duidelijker door elke groep een passende naam te geven.</li>
    <li>Bevestig uw instellingen: klik op <strong>'Confirm groups'</strong> om de kaart met uw indeling te vernieuwen.</li>
  </ol>
</div>";Histoire des invasions de {{species}};"<div>
  <p>
    Ces cartes montrent la répartition de l'espèce pour l'année de référence sélectionnée et la comparent avec la répartition des deux périodes précédentes de trois ans.
  </p>

  <p>En tant qu'utilisateur, vous pouvez choisir comment organiser les données d'observation. Voici comment procéder:</p>

  <ol>
    <li>Sélectionnez le bouton <strong>'Edit classes'</strong>.</li>
    <li>Définissez le nombre de catégories dans lesquelles vous souhaitez diviser les observations avec l'option <strong>nBins</strong>.</li>
    <li>
      Choisissez la manière dont les données seront réparties. Vous pouvez choisir entre:
      <ul>
        <li><strong>Répartition personnalisée:</strong> vous définissez vous-même les limites.</li>
        <li><strong>Répartition uniforme:</strong> toutes les catégories ont une répartition égale.</li>
        <li><strong>Répartition par quantiles:</strong> chaque catégorie contient environ le même nombre d'observations.</li>
      </ul>
    </li>
    <li>Donnez un nom à chaque catégorie: rendez l'affichage plus clair en attribuant un nom approprié à chaque groupe.</li>
    <li>Confirmez vos réglages: cliquez sur <strong>'Confirm groups'</strong> pour mettre à jour la carte avec votre nouvelle répartition.</li>
  </ol>
</div>";Invasion history of {{species}};<div> <p> These maps show the distribution of the species for the selected reference year and compare it with the distribution over the two previous three-year periods. </p> <p>As a user, you can choose how to organize the observation data. Here’s how to proceed:</p> <ol> <li>Select the <strong>'Edit classes'</strong> button.</li> <li>Use the <strong>nBins</strong> option to define the number of categories you want to divide the data into.</li> <li> Choose how the data will be distributed. You can choose between: <ul> <li><strong>Custom distribution:</strong> you define the limits yourself.</li> <li><strong>Equal distribution:</strong> all categories have an equal range.</li> <li><strong>Quantile distribution:</strong> each category contains roughly the same number of observations.</li> </ul> </li> <li>Name each category: make the display clearer by assigning an appropriate name to each group.</li> <li>Confirm your settings: click on <strong>'Confirm groups'</strong> to update the map with your new distribution.</li> </ol> </div>
risk-mapRaster;TrIAS Risicokaarten;Invasieve uitheemse soorten hebben het potentieel om ecosystemen te beschadigen, de biodiversiteit te verminderen en andere problemen voor mensen en dieren in het wild te veroorzaken. Om deze problemen te mitigeren is onderzoek nodig naar wat de potentiële risico’s zijn en welke soorten het meest waarschijnlijk een probleem vormen. Eén van de technieken die we gebruiken is het modelleren van de verspreiding van soorten. Deze modellen zijn bedoeld om de potentiële verspreiding van een soort te schatten, gegeven de bekende omgevingsomstandigheden waarin hij momenteel leeft. In dergelijke modellen kunnen we ook toekomstscenario's in dergelijke modellen integreren, zodat we bij onze risicobeoordeling rekening kunnen houden met klimaatverandering. </br>Het is onwaarschijnlijk dat deze kaarten nauwkeurige voorspellingen zijn van de huidige of toekomstige verspreiding van soorten, maar ze zijn niettemin een leidraad voor wetenschappers die risicobeoordelingen uitvoeren. Ze helpen ons door aan te geven welke gebieden het meest kwetsbaar zijn voor invasie, en of de klimaatverandering waarschijnlijk een grotere of kleinere vestiging van de soort zal veroorzaken.;TrIAS Cartes des Risques;Les espèces exotiques envahissantes peuvent potentiellement endommager les écosystèmes, réduire la biodiversité et causer d’autres problèmes aux humains et à la faune. Afin d'atténuer ces problèmes, des recherches sont nécessaires pour déterminer quels sont les risques potentiels et quelles espèces sont les plus susceptibles de poser problème. L'une des techniques que nous utilisons est la modélisation de la répartition des espèces. Ces modèles visent à estimer la répartition potentielle d'une espèce compte tenu des conditions environnementales connues dans lesquelles elle vit actuellement. Dans de tels modèles, nous pouvons également intégrer des scénarios futurs, afin de pouvoir tenir compte du changement climatique dans notre évaluation des risques. </br>Il est peu probable que ces cartes constituent des prédictions précises de la répartition actuelle ou future des espèces, mais elles constituent néanmoins un guide pour les scientifiques qui effectuent des évaluations des risques. Ils nous aident en indiquant quelles zones pourraient être les plus vulnérables à l’invasion et si le changement climatique est susceptible d’entraîner un plus ou moins grand établissement de l’espèce.;TrIAS Risk Maps;Invasive alien species have the potential to damage ecosystems, reduce biodiversity and cause other problems for people and wildlife. In order to mitigate these problems research is needed into what the potential risks are and which species are most likely to be a problem. One of the techniques we use is species distribution modelling. These models aim to estimate the potential distribution of a species given the known environmental conditions where it is currently living. In such models we can also incorporate future scenarios into such models, so that we can account for climate change in our evaluation of risk. </br>These maps are unlikely to be precise predictions of current or future species distributions, but are nevertheless a guide to scientists conducting risk assessments. They help us by indicating which areas might be most vulnerable to invasion, and whether climate change is likely to cause greater or lesser establishment of the species.
tableIndicators;NA;"<p>Deze tabel biedt een overzicht van alle soorten waarvoor informatie beschikbaar is op het exotenportaal (= alle soorten op de <a href=""https://www.gbif.org/dataset/6d9e952f-948c-4483-9807-575348147c7e"" target=""_blank""> GRIIS-checklijst van België</a>). Voor elke soort bevat de tabel informatie over de invasiestatus in België zoals gedocumenteerd in de GRIIS-checklijst. De kolommen worden hieronder beschreven: </p>

- <b>Soort</b> toont de wetenschappelijke naam van de exoot.<br>
- <b>GBIF taxonomisch ID (taxonkey)</b> geeft de taxonkey van de soort weer op <a href=""https://www.gbif.org/news/EQgUzZ4YA75BSeLs1naI9/belgian-built-gbif-alert-system-wins-the-2023-ebbe-nielsen-challenge"" target=""_blank""> GBIF </a>(de Global Biodiversity Information Facility). Meer informatie over GBIF-taxonomische sleutels vindt u op <a href=""https://discourse.gbif.org/t/understanding-gbif-taxonomic-keys-usagekey-taxonkey-specieskey/3045"" target=""_blank""> deze pagina. </a><br>
- <b>Jaar van laatste waarneming</b> geeft het meest recente jaar weer waarin de soort werd waargenomen in België. Dit is gebaseerd op het laatste jaar van waarneming in de GRIIS-checklijst of (indien beschikbaar) op een recentere, gegeorefereerde waarneming van de soort op GBIF.<br>
- <b>Habitat</b> vermeldt de habitattypes waarin de soort voorkomt, zoals aangegeven in de GRIIS-checklijst.<br>
- <b>Bron</b> geeft de oorspronkelijke checklist aan die als basis diende om de soort op te nemen in de GRIIS-checklijst.<br>
- <b>Jaar van eerste waarneming</b> geeft het eerste jaar aan waarin de soort werd waargenomen in België (per regio), zoals gedocumenteerd in de GRIIS-checklijst.<br>
- <b>Mate van vestiging</b> geeft de mate van vestiging van de soort in België weer, zoals aangegeven in de GRIIS-checklijst. ""NA"" betekent dat deze informatie niet beschikbaar was in de GRIIS-checklijst voor de betreffende soort.<br>
- <b>Introductieroutes</b> toont de introductieroute(s) van de soort in België zoals gespecificeerd in de GRIIS-checklijst.<br>
- <b>Meer</b> Geeft aan of er meer informatie beschikbaar is over de soort (aan de hand van iconen): <br>";NA;"<p>Ce tableau présente un aperçu de toutes les espèces répertoriées sur le portail des espèces exotiques (= toutes les espèces de la <a href=""https://www.gbif.org/dataset/6d9e952f-948c-4483-9807-575348147c7e"" target=""_blank"">liste de contrôle GRIIS de Belgique</a>). Pour chaque espèce, le tableau comprend des informations sur son statut d'invasion en Belgique tel que documenté dans la liste de contrôle GRIIS. Les colonnes sont décrites ci-dessous : </p>

- <b>Espèce</b> affiche le nom scientifique de l'espèce exotique.<br>
- <b>ID taxonomique GBIF (taxonkey)</b> affiche le taxonkey de l'espèce sur <a href=""https://www.gbif.org/news/EQgUzZ4YA75BSeLs1naI9/belgian-built-gbif-alert-system-wins-the-2023-ebbe-nielsen-challenge"" target=""_blank""> GBIF </a> (le Global Biodiversity Information Facility). Pour en savoir plus sur les clés taxonomiques GBIF, consultez <a href=""https://discourse.gbif.org/t/understanding-gbif-taxonomic-keys-usagekey-taxonkey-specieskey/3045"" target=""_blank""> cette page. </a><br>
- <b>Année de dernière observation</b> indique l'année la plus récente où l'espèce a été observée en Belgique. Cela est basé soit sur la dernière année d'observation indiquée dans la liste de contrôle GRIIS, soit (lorsqu'elle est disponible) sur une observation géoréférencée plus récente de l'espèce rapportée sur GBIF.<br>
- <b>Habitat</b> répertorie les types d'habitats dans lesquels l'espèce se trouve typiquement, comme indiqué dans la liste de contrôle GRIIS.<br>
- <b>Source</b> indique la liste de contrôle initiale qui a servi de base pour inclure l'espèce dans la liste de contrôle GRIIS.<br>
- <b>Année de première observation</b> indique la première année où l'espèce a été observée en Belgique (par région), comme documenté dans la liste de contrôle GRIIS.<br>
- <b>Degré d'établissement</b> indique le degré d'établissement de l'espèce en Belgique, tel qu'indiqué dans la liste de contrôle GRIIS. ""NA"" signifie que cette information n'était pas disponible dans la liste de contrôle GRIIS pour l'espèce respective.<br>
- <b>Voies d'introduction</b> affiche les voies d'introduction de l'espèce en Belgique, comme spécifié dans la liste de contrôle GRIIS.<br>
- <b>Plus</b> Indique si des informations supplémentaires sont disponibles sur l'espèce (à l'aide d'icônes) : <br>";NA;"<p>This table offers an overview of all species included on the alien species portal (= all species on the <a href= ""https://www.gbif.org/dataset/6d9e952f-948c-4483-9807-575348147c7e"" target=""_blank""> GRIIS checklist of Belgium</a>). For each species, the table includes information regarding its invasion status in Belgium as documented in the GRIIS checklist. The columns are described below: </p>

- <b>Species</b> displays the scientific name of the alien species.<br>
- <b>GBIF taxonomic ID (taxonkey)</b> shows the taxonkey of the species on <a href= ""https://www.gbif.org/news/EQgUzZ4YA75BSeLs1naI9/belgian-built-gbif-alert-system-wins-the-2023-ebbe-nielsen-challenge"" target=""_blank""> GBIF </a>(the Global Biodiversity Information Facility). Learn more about GBIF taxonomic keys on <a href= ""https://discourse.gbif.org/t/understanding-gbif-taxonomic-keys-usagekey-taxonkey-specieskey/3045"" target=""_blank""> this page. </a><br>
- <b>Year of last observation </b>indicates the most recent year the species was observed in Belgium. This is either based on the last year of observation indicated in the GRIIS checklist or (when available) on a more recent georeferenced observation of the species reported on GBIF.<br>
- <b>Habitat</b> lists the habitat type(s) in which the species is typically found, as indicated in the GRIIS checklist.<br>
- <b>Source</b> indicates the initial checklist that served as the basis to include the species in the GRIIS checklist. <br>
- <b>Year of first observation</b> signifies the first year the species was observed in Belgium (per region), as documented in the GRIIS checklist.<br>
- <b>Degree of establishment</b> indicates the degree of establishment of the species in Belgium, as indicated in the GRIIS checklist. ""NA"" signifies that this information was not available on the GRIIS checklist for the respective species.<br>
- <b>Pathway</b> Displays the introduction pathway(s) of the species in Belgium as specified in the GRIIS checklist. <br>
- <b>More</b> Indicates whether there is more information available on the species (using icons): <br>"
tableNesten;Aantal nesten per provincie (tabel);Het aantal op vespawatch.be gemelde nesten per provincie.</br><em>Data beschikbaar tot {{maxDate}}<em>;Nombre de nids par province (tableau);Le nombre de nids signalés sur vespawatch.be par province. </br><em>Dates disponibles jusqu'à {{maxDate}}<em>;Number of nests per province (table);The number of nests reported on vespawatch.be per province.</br><em>Dates available until {{maxDate}}<em>
visualize_pathways_level1;Aantal geïntroduceerde taxa per categorie van introductieroute;"Deze grafiek toont het aantal geïntroduceerde taxa per categorie van introductieroute <i>(<a href=""https://www.cbd.int/doc/c/9d85/3bc5/d640f059d03acd717602cd76/sbstta-22-inf-09-en.pdf#page=8"" target = ""_blank"">CBD, niveau1</a>)</i>.";Nombre de taxons introduits par catégorie de voie d'introduction;"Ce graphique montre le nombre de taxons introduits par catégorie de voie d'introduction <i>(<a href=""https://www.cbd.int/doc/c/9d85/3bc5/d640f059d03acd717602cd76/sbstta-22-inf-09-en.pdf#page=8"" target = ""_blank"">CBD, niveau 1</a>)</i>.";Number of introduced taxa per introduction pathway category;"This graph shows the number of introduced taxa per introduction pathway category <i>(<a href=""https://www.cbd.int/doc/c/9d85/3bc5/d640f059d03acd717602cd76/sbstta-22-inf-09-en.pdf#page=8"" target = ""_blank"">CBD, level1</a>)</i>."
